token_index,status,generation,command_element_saturations,command_accumulator_saturations,command_scale_clamps,command_alignment_underflows,command_state_scale_changes,command_invalid_encodings,command_rejected_commands,command_committed_state_generations,cumulative_element_saturations,cumulative_accumulator_saturations,cumulative_scale_clamps,cumulative_alignment_underflows,cumulative_state_scale_changes,cumulative_invalid_encodings,cumulative_rejected_commands,cumulative_committed_state_generations
1,0,1,0,0,0,3539,13960,0,0,1,0,0,0,3539,13960,0,0,1
2,0,2,0,0,0,137147,7488,0,0,1,0,0,0,140686,21448,0,0,2
3,0,3,0,0,0,190813,6785,0,0,1,0,0,0,331499,28233,0,0,3
4,0,4,0,0,0,199055,4498,0,0,1,0,0,0,530554,32731,0,0,4
5,0,5,0,0,0,198546,3889,0,0,1,0,0,0,729100,36620,0,0,5
6,0,6,0,0,0,207298,3723,0,0,1,0,0,0,936398,40343,0,0,6
7,0,7,0,0,0,211109,3568,0,0,1,0,0,0,1147507,43911,0,0,7
8,0,8,0,0,0,210993,3057,0,0,1,0,0,0,1358500,46968,0,0,8
9,0,9,0,0,0,222717,2693,0,0,1,0,0,0,1581217,49661,0,0,9
10,0,10,0,0,0,216208,2527,0,0,1,0,0,0,1797425,52188,0,0,10
11,0,11,0,0,0,214716,2306,0,0,1,0,0,0,2012141,54494,0,0,11
12,0,12,0,0,0,208378,1905,0,0,1,0,0,0,2220519,56399,0,0,12
13,0,13,0,0,0,206448,2062,0,0,1,0,0,0,2426967,58461,0,0,13
14,0,14,0,0,0,230878,1818,0,0,1,0,0,0,2657845,60279,0,0,14
15,0,15,0,0,0,238327,1890,0,0,1,0,0,0,2896172,62169,0,0,15
16,0,16,0,0,0,243012,1830,0,0,1,0,0,0,3139184,63999,0,0,16
17,0,17,0,0,0,220236,1463,0,0,1,0,0,0,3359420,65462,0,0,17
18,0,18,0,0,0,245073,1492,0,0,1,0,0,0,3604493,66954,0,0,18
19,0,19,0,0,0,252227,1453,0,0,1,0,0,0,3856720,68407,0,0,19
20,0,20,0,0,0,247164,1777,0,0,1,0,0,0,4103884,70184,0,0,20
21,0,21,0,0,0,239749,1425,0,0,1,0,0,0,4343633,71609,0,0,21
22,0,22,0,0,0,254306,1522,0,0,1,0,0,0,4597939,73131,0,0,22
23,0,23,0,0,0,242257,1665,0,0,1,0,0,0,4840196,74796,0,0,23
24,0,24,0,0,0,261001,1474,0,0,1,0,0,0,5101197,76270,0,0,24
25,0,25,0,0,0,262783,1269,0,0,1,0,0,0,5363980,77539,0,0,25
26,0,26,0,0,0,264020,1065,0,0,1,0,0,0,5628000,78604,0,0,26
27,0,27,0,0,0,274178,1406,0,0,1,0,0,0,5902178,80010,0,0,27
28,0,28,0,0,0,273924,1224,0,0,1,0,0,0,6176102,81234,0,0,28
29,0,29,0,0,0,260966,1020,0,0,1,0,0,0,6437068,82254,0,0,29
30,0,30,0,0,0,269413,1046,0,0,1,0,0,0,6706481,83300,0,0,30
31,0,31,0,0,0,272205,1103,0,0,1,0,0,0,6978686,84403,0,0,31
32,0,32,0,0,0,284698,1136,0,0,1,0,0,0,7263384,85539,0,0,32
33,0,33,0,0,0,267491,1085,0,0,1,0,0,0,7530875,86624,0,0,33
34,0,34,0,0,0,267294,938,0,0,1,0,0,0,7798169,87562,0,0,34
35,0,35,0,0,0,250137,868,0,0,1,0,0,0,8048306,88430,0,0,35
36,0,36,0,0,0,283919,857,0,0,1,0,0,0,8332225,89287,0,0,36
37,0,37,0,0,0,285297,900,0,0,1,0,0,0,8617522,90187,0,0,37
38,0,38,0,0,0,275768,902,0,0,1,0,0,0,8893290,91089,0,0,38
39,0,39,0,0,0,269315,803,0,0,1,0,0,0,9162605,91892,0,0,39
40,0,40,0,0,0,285844,941,0,0,1,0,0,0,9448449,92833,0,0,40
41,0,41,0,0,0,280225,982,0,0,1,0,0,0,9728674,93815,0,0,41
42,0,42,0,0,0,259841,911,0,0,1,0,0,0,9988515,94726,0,0,42
43,0,43,0,0,0,248258,882,0,0,1,0,0,0,10236773,95608,0,0,43
44,0,44,0,0,0,275760,950,0,0,1,0,0,0,10512533,96558,0,0,44
45,0,45,0,0,0,283807,938,0,0,1,0,0,0,10796340,97496,0,0,45
46,0,46,0,0,0,277656,879,0,0,1,0,0,0,11073996,98375,0,0,46
47,0,47,0,0,0,265245,849,0,0,1,0,0,0,11339241,99224,0,0,47
48,0,48,0,0,0,251911,812,0,0,1,0,0,0,11591152,100036,0,0,48
49,0,49,0,0,0,277531,766,0,0,1,0,0,0,11868683,100802,0,0,49
50,0,50,0,0,0,279739,734,0,0,1,0,0,0,12148422,101536,0,0,50
51,0,51,0,0,0,293802,744,0,0,1,0,0,0,12442224,102280,0,0,51
52,0,52,0,0,0,264677,799,0,0,1,0,0,0,12706901,103079,0,0,52
53,0,53,0,0,0,275786,803,0,0,1,0,0,0,12982687,103882,0,0,53
54,0,54,0,0,0,268938,708,0,0,1,0,0,0,13251625,104590,0,0,54
55,0,55,0,0,0,256384,676,0,0,1,0,0,0,13508009,105266,0,0,55
56,0,56,0,0,0,271470,853,0,0,1,0,0,0,13779479,106119,0,0,56
57,0,57,0,0,0,276188,917,0,0,1,0,0,0,14055667,107036,0,0,57
58,0,58,0,0,0,295266,810,0,0,1,0,0,0,14350933,107846,0,0,58
59,0,59,0,0,0,303451,874,0,0,1,0,0,0,14654384,108720,0,0,59
60,0,60,0,0,0,283195,789,0,0,1,0,0,0,14937579,109509,0,0,60
61,0,61,0,0,0,279574,794,0,0,1,0,0,0,15217153,110303,0,0,61
62,0,62,0,0,0,279777,759,0,0,1,0,0,0,15496930,111062,0,0,62
63,0,63,0,0,0,281288,763,0,0,1,0,0,0,15778218,111825,0,0,63
64,0,64,0,0,0,276663,740,0,0,1,0,0,0,16054881,112565,0,0,64
